 vbep            v(Vbep)         vbep            v(Vben)         yes             currtemp       
 3.09294965e-01  3.09294965e-01  3.09294965e-01  1.24046334e-01  1.00000000e+00  8.20000000e+01 
 3.08141876e-01  3.08141876e-01  3.08141876e-01  1.24980491e-01  1.00000000e+00  8.30000000e+01 
 3.07032945e-01  3.07032945e-01  3.07032945e-01  1.25950346e-01  1.00000000e+00  8.40000000e+01 
 3.05970540e-01  3.05970540e-01  3.05970540e-01  1.26883865e-01  1.00000000e+00  8.50000000e+01 
 3.05002641e-01  3.05002641e-01  3.05002641e-01  1.27767791e-01  1.00000000e+00  8.60000000e+01 
 3.04074624e-01  3.04074624e-01  3.04074624e-01  1.28609221e-01  1.00000000e+00  8.70000000e+01 
 3.03216526e-01  3.03216526e-01  3.03216526e-01  1.29424962e-01  1.00000000e+00  8.80000000e+01 
 3.02402443e-01  3.02402443e-01  3.02402443e-01  1.30179365e-01  1.00000000e+00  8.90000000e+01 
 3.01653849e-01  3.01653849e-01  3.01653849e-01  1.30906134e-01  1.00000000e+00  9.00000000e+01 
 3.00958287e-01  3.00958287e-01  3.00958287e-01  1.31572619e-01  1.00000000e+00  9.10000000e+01 
 3.00314369e-01  3.00314369e-01  3.00314369e-01  1.32240825e-01  1.00000000e+00  9.20000000e+01 
 2.99720527e-01  2.99720527e-01  2.99720527e-01  1.32819252e-01  1.00000000e+00  9.30000000e+01 
 2.99174128e-01  2.99174128e-01  2.99174128e-01  1.33385793e-01  1.00000000e+00  9.40000000e+01 
 2.98674468e-01  2.98674468e-01  2.98674468e-01  1.33870566e-01  1.00000000e+00  9.50000000e+01 
 2.98217457e-01  2.98217457e-01  2.98217457e-01  1.34348102e-01  1.00000000e+00  9.60000000e+01 
 2.97801418e-01  2.97801418e-01  2.97801418e-01  1.34794018e-01  1.00000000e+00  9.70000000e+01 
 2.97422444e-01  2.97422444e-01  2.97422444e-01  1.35182944e-01  1.00000000e+00  9.80000000e+01 
 2.97083924e-01  2.97083924e-01  2.97083924e-01  1.35555156e-01  1.00000000e+00  9.90000000e+01 
 2.96779467e-01  2.96779467e-01  2.96779467e-01  1.35887208e-01  1.00000000e+00  1.00000000e+02 
